ID,group,water_depth,growth_rate,growth_percent,larval_period,metamorph_size,jump_dist
T1-1,T1,0.25,0.076571429,2.025188917,30,1.0208,7.8008
T1-2,T1,0.25,0.044238095,1.317730496,45,0.7136,6.7516
T1-4,T1,0.25,0.054190476,1.394607843,43,0.8416,9.6096
T1-6,T1,0.25,0.064761905,1.808510638,33,0.9048,7.3048
T1-7,T1,0.25,0.02452381,0.625759417,41,0.5952,10
T1-8,T1,0.25,0.051,1.345477387,43,0.8068,6.8768
T1-9,T1,0.25,0.075285714,1.83198146,32,0.972,7.2
T1-11,T1,0.25,0.034952381,0.761410788,48,0.7392,8.1542
T1-13,T1,0.25,0.04152381,1.024676851,45,0.7492,6.5572
T1-14,T1,0.25,0.048142857,1.349799733,50,0.764,6.795
T1-15,T1,0.25,0.044428571,1.276333789,41,0.7256,6.6696
T2-1,T2,0.5,0.03347619,0.814600232,39,0.6864,6.8194
T2-2,T2,0.5,0.056,1.372228705,39,0.8732,7.2872
T2-3,T2,0.5,0.028857143,0.727490996,47,0.6356,6.3656
T2-4,T2,0.5,0.079761905,1.82860262,29,0.861,7.7
T2-5,T2,0.5,0.049380952,1.142070485,35,0.838,7.8
T2-6,T2,0.5,0.055809524,1.701015965,40,0.8044,6.7974
T2-7,T2,0.5,0.075333333,1.76169265,37,1.052,8.054
T2-8,T2,0.5,0.057380952,1.364665912,36,0.8952,7.1402
T2-9,T2,0.5,0.084809524,2.480501393,39,1.0596,9.9396
T2-10,T2,0.5,0.083047619,2.21319797,36,1.0728,9.2258
T2-11,T2,0.5,0.069714286,2.085470085,39,0.9264,7.5324
T2-12,T2,0.5,0.071,1.715765247,39,1.004,7.568
T3-1,T3,1,0.069190476,1.636261261,34,0.9964,8.8584
T3-2,T3,1,0.06,1.266331658,32,0.962,9.099
T3-3,T3,1,0.098,2.862308762,33,1.1708,10.2088
T3-4,T3,1,0.083047619,1.914379802,29,0.997,8.8
T3-5,T3,1,0.075809524,1.960591133,30,1.514,9.269
T3-6,T3,1,0.09252381,2.930618401,36,1.1024,7.8824
T3-7,T3,1,0.092428571,2.402227723,36,1.1596,10.3426
T3-8,T3,1,0.075238095,1.644120708,27,1.023,8.8
T3-9,T3,1,0.087428571,2.258302583,28,1.065,6.8
T3-10,T3,1,0.099904762,2.808567604,39,1.198,9.515
T3-11,T3,1,0.101428571,3.012729844,37,1.1948,8.8148
T3-12,T3,1,0.079571429,1.918484501,32,1.207,7.5
T4-1,T4,2,0.065714286,1.701602959,36,0.9364,8.7404
T4-2,T4,2,0.100761905,2.513064133,39,1.2432,10.0752
T4-3,T4,2,0.09852381,2.766042781,39,1.1868,9.3688
T4-4,T4,2,0.121714286,3.412550067,43,1.382,8.943
T4-5,T4,2,0.095190476,2.368483412,29,0.94,9.1
T4-7,T4,2,0.085142857,2.088785047,41,1.1176,8.5396
T4-8,T4,2,0.072714286,1.94522293,39,0.9848,9.0298
T4-9,T4,2,0.102333333,2.846357616,37,1.2216,9.3056
T4-10,T4,2,0.057095238,1.563233377,35,0.8464,7.5724
T4-11,T4,2,0.094380952,2.496221662,36,1.1704,10.4454
T4-12,T4,2,0.091095238,2.240046838,32,1.353,8.5
T5-1,T5,2–0.25,0.092666667,2.975535168,32,0.94,8.374
T5-2,T5,2–0.25,0.074904762,1.998729352,36,0.93,7.618
T5-3,T5,2–0.25,0.090285714,2.287092883,32,1.19,8.2
T5-4,T5,2–0.25,0.07552381,1.810502283,34,1.02,7.964
T5-5,T5,2–0.25,0.093952381,2.286210892,29,1.1,8.409
T5-6,T5,2–0.25,0.069428571,1.699300699,35,1.09,8.5
T5-7,T5,2–0.25,0.084857143,1.995520717,31,1.13,8.128
T5-8,T5,2–0.25,0.074095238,1.935323383,33,0.91,7.455
T5-9,T5,2–0.25,0.059095238,1.419908467,32,0.88,7.076
T5-10,T5,2–0.25,0.08347619,2.230279898,31,1.09,7.918
T5-11,T5,2–0.25,0.087,2.175,29,1.18,8.186
T5-12,T5,2–0.25,0.085809524,2.23573201,27,1.16,8.262
